seed,role,step,exact_correct,exact_total,exact_path_accuracy,exact_path_wilson_95_low,exact_path_wilson_95_high,first_decision_accuracy,first_decision_gold_margin_mean,token_1_accuracy,token_2_accuracy,token_3_accuracy,token_4_accuracy,token_5_accuracy,checkpoint_sha256
1234,generalizing trajectory,1000,0,20000,0.0,0.0,0.00019203605610462553,0.0665,-1.3683208938598632,1.0,0.0665,0.06605,0.07215,0.9961,eb9eb38a0cccfb32a200cfcf2636039c102778555d1e3bcff19bf501defe40fc
1234,generalizing trajectory,3000,19803,20000,0.99015,0.9886840925215175,0.991427654532683,0.99215,7.708891430664062,0.9997,0.99215,0.994,0.9985,1.0,80bffc592fd4c3f8bc8d2776c59b9326d91f2c5ef01936a4b3f492272b5b51bb
1234,generalizing trajectory,5000,19998,20000,0.9999,0.9996354263863794,0.9999725759647273,0.9999,10.155740576553345,1.0,0.9999,1.0,1.0,1.0,88ce3566b0387d83e617fe10d2f69728846dfcc50777be515945c478fffd690a
1234,generalizing trajectory,7000,20000,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,11.354740750980378,1.0,1.0,1.0,1.0,1.0,e3834d425728037784ba4c73029eccea2836efb0618b53113f7791211aa5af47
1234,generalizing trajectory,9000,19996,20000,0.9998,0.9994858195143681,0.9999222212439498,0.9998,11.98466612291336,1.0,0.9998,1.0,1.0,1.0,4707140fc2c26f40f17437e91ffc01d787eefb5c7b16b2a30638d85c433c7ea4
1234,generalizing trajectory,12000,19991,20000,0.99955,0.9991449078924859,0.99976322888386,0.99965,11.419220865345002,1.0,0.99965,0.99975,0.9999,1.0,b3c523f050ce8fa3fee61f1ef85ac960412e6b5adb1bd6c6464de9b9ba828a8b
1234,generalizing trajectory,15000,19989,20000,0.99945,0.9990153237654903,0.9996928514180666,0.9996,11.745808897447587,1.0,0.9996,0.99975,0.99995,1.0,0b070114ff28c19f14c836b9c9591afa586af91bbe2998c79d15805fe3411ef4
1234,generalizing trajectory,17000,20000,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,13.045560748291015,1.0,1.0,1.0,1.0,1.0,7d0ddcbd8beacbdee0d261385072f80afa8a0e35a57a6e1b03ceefcfc2a35fdf
1234,generalizing trajectory,19000,20000,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,12.823384570217133,1.0,1.0,1.0,1.0,1.0,9788d9527cf5d0417b928d93bd7000c8a1f1e0721ebb9341f3cb81690cae7575
1234,generalizing trajectory,20000,19991,20000,0.99955,0.9991449078924859,0.99976322888386,0.9998,11.680407034301759,0.99995,0.9998,0.99995,0.99975,1.0,73fd612cbfa41de258ca7944c7bf430788b1d6ca2d2c03829c969a7a63bf1dd0
1235,shortcut trajectory,2000,4,20000,0.0002,7.777875605022842e-05,0.0005141804856319553,0.06755,-1.404653564453125,1.0,0.06755,0.06625,0.0705,1.0,edd685a53c6f292fa424ebe49062b9b38cada1924bebb7d2ddffdf13a474e87d
1235,shortcut trajectory,4000,3505,20000,0.17525,0.1700435603641333,0.18058116705430663,0.17855,-2.5152110107421874,0.9981,0.1782,0.1776,0.1806,0.9899,3dcfa142d290e41ae7d64e10427a80acc8969c6a1a10e4e7fea16336bfb5f497
1235,shortcut trajectory,6000,3599,20000,0.17995,0.1746877261990537,0.18533519608045884,0.18105,-3.522416372680664,0.99795,0.18065,0.181,0.1835,0.8588,bfd1181329600b94389a934c778429cd9f27a55efc3460ce03d95500a0e7e9b2
1235,shortcut trajectory,8000,3656,20000,0.1828,0.17750452928896024,0.18821729838503246,0.1832,-3.8882625549316407,0.99955,0.18305,0.1837,0.18585,0.878,5d8e4045186c3a542c9d33761bcfd37ecada433bb9941f53a084e74ddfd4f3ec
1235,shortcut trajectory,10000,3662,20000,0.1831,0.17780106337289503,0.1885206490794641,0.18315,-4.1057174743652345,0.99975,0.18315,0.1836,0.18585,0.81955,89bcce49c165a6a97b2c383d05c119200b04b3774581916d5f73dd177c8d37f8
1235,shortcut trajectory,12000,3595,20000,0.17975,0.1744900743333532,0.18513292476058177,0.17985,-4.15462717962265,0.9999,0.1798,0.1808,0.18365,0.71205,eb327ca41ac4acabe16f8ca171fb2c717e70783b6e4e9852b66e5dba6e879da0
1235,shortcut trajectory,15000,3686,20000,0.1843,0.17898725348552585,0.18973399808029856,0.1843,-4.092115104675293,0.9999,0.1843,0.1851,0.1876,0.8281,e54060bf49bc35e7f981da39065335cecb8e5863018b98b1e35e303b815cf746
1235,shortcut trajectory,17000,3633,20000,0.18165,0.17636786539954213,0.18705440395737966,0.18165,-4.137241073083878,1.0,0.18165,0.18285,0.187,0.9189,1e611c90e4dfcf17e922de6d21b8834cd8e1f9cf171b9d9ce51a16ae6ea5cfaa
1235,shortcut trajectory,19000,3571,20000,0.17855,0.17330421463398155,0.18391924534648807,0.1787,-4.1755061508178715,0.99995,0.1787,0.17935,0.1824,0.91975,e4b7f8bb68a6005957d3201206c87137ba895cf492a83608c60bb162f6563278
1235,shortcut trajectory,20000,3651,20000,0.18255,0.1772574216755419,0.18796450201647888,0.18255,-4.231727400970459,0.99995,0.18255,0.1834,0.18635,0.936,b441ebd8d7588abd29556602be357e1aefd6ae92c34692b8a33eb1d8c2b0211f
