63,87|28,56|28,53|62,13|28,23|85,26|53,85|36,58|87,77|42,48|13,29|28,36|23,63|26,44|28,42|56,62|58,54|48,9|9,92|54,15/28,29=28,56,62,13,29
50,68|31,51|89,9|10,85|45,96|45,53|60,31|45,75|75,89|45,73|51,40|45,60|90,50|6,44|73,90|53,10|44,29|96,6|85,91|9,42/45,42=45,75,89,9,42
34,29|56,61|95,34|95,56|95,66|61,6|47,49|13,43|29,9|33,41|9,35|69,33|41,79|75,13|24,22|6,46|95,69|49,24|95,47|66,75/95,46=95,56,61,6,46
34,72|34,61|24,0|2,39|34,22|93,30|72,40|61,17|45,85|85,73|17,24|13,25|34,13|95,93|22,45|34,88|69,55|88,95|40,69|25,2/34,73=34,22,45,85,73
78,46|66,15|2,52|97,78|58,0|5,12|90,92|53,80|15,59|99,60|80,58|97,99|97,53|59,75|60,91|97,66|97,2|91,36|46,5|52,90/97,92=97,2,52,90,92
8,53|96,8|59,12|63,46|96,38|12,74|74,43|96,98|53,47|94,99|46,94|19,68|96,63|69,19|38,9|98,69|47,6|96,59|9,60|60,80/96,99=96,63,46,94,99
98,19|64,90|29,64|76,98|84,95|17,5|1,34|52,17|90,96|95,0|68,33|29,52|96,15|29,27|34,68|29,1|16,76|5,57|29,16|27,84/29,57=29,52,17,5,57
46,11|78,16|75,22|64,84|11,32|78,75|15,58|6,68|7,64|16,6|78,90|98,15|22,26|68,43|78,7|84,37|90,98|78,81|26,31|81,46/78,32=78,81,46,11,32
35,53|7,12|48,81|65,71|64,0|0,19|87,95|95,27|48,55|71,79|48,61|74,9|48,97|53,20|55,87|97,64|48,7|81,65|12,74|61,35/48,20=48,61,35,53,20
69,28|87,88|86,83|87,86|91,74|21,27|2,69|1,80|87,52|37,59|52,21|74,14|83,1|27,70|31,91|87,31|59,17|76,2|88,37|87,76/87,17=87,88,37,59,17
44,84|34,72|70,21|92,62|82,40|0,26|14,44|64,47|14,93|14,0|93,50|50,92|14,64|89,76|47,34|14,89|84,82|15,63|26,70|76,15/14,62=14,93,50,92,62
47,94|36,56|6,79|53,49|56,0|2,33|60,54|95,7|53,83|53,6|7,68|4,35|33,10|0,19|79,47|54,4|83,95|49,2|53,36|53,60/53,68=53,83,95,7,68
27,19|71,14|24,66|68,99|54,71|83,1|49,54|89,96|96,68|34,95|95,24|60,83|39,60|34,49|34,39|34,88|88,85|85,27|66,90|34,89/34,19=34,88,85,27,19
27,67|29,65|67,19|11,39|20,70|15,37|61,75|19,15|34,64|3,11|53,3|70,34|27,61|27,20|65,52|27,53|27,14|75,74|14,29|74,76/27,64=27,20,70,34,64
46,14|2,60|97,16|24,27|60,77|24,46|73,34|54,39|24,2|24,32|45,70|62,45|32,54|7,69|27,62|39,9|34,7|14,97|24,73|77,1/24,70=24,27,62,45,70
50,70|35,41|30,78|31,50|63,54|52,9|35,33|41,3|33,53|78,62|9,20|35,43|35,30|62,36|35,86|79,27|3,63|86,31|43,52|53,79/35,54=35,41,3,63,54
