55,81|3,48|70,79|19,55|82,52|77,6|47,82|97,16|97,3|97,19|43,73|79,41|48,77|13,47|97,70|97,13|16,43|81,60|73,75|41,78/97,75=97,16,43,73,75
90,52|93,89|71,36|79,30|37,23|8,93|79,37|1,85|0,8|51,88|11,34|23,11|36,15|3,31|79,1|79,0|30,71|85,51|79,90|52,3/79,31=79,90,52,3,31
55,85|64,29|67,15|93,22|29,55|64,92|85,16|81,93|15,76|51,67|75,91|0,36|64,66|64,41|91,27|66,81|64,51|92,75|17,0|41,17/64,27=64,92,75,91,27
79,19|9,18|37,38|19,10|20,85|26,30|37,21|38,63|63,7|37,95|1,49|82,26|85,1|24,23|7,88|95,79|18,24|37,20|21,82|37,9/37,10=37,95,79,19,10
78,85|33,67|41,78|75,43|47,13|6,57|47,82|53,20|43,55|20,66|82,41|13,75|47,37|66,12|37,98|47,53|47,77|77,6|98,33|57,10/47,10=47,77,6,57,10
12,84|37,8|67,93|26,51|52,20|3,12|87,71|43,52|43,95|10,26|80,87|71,18|43,3|8,42|95,10|43,80|84,33|42,73|20,67|43,37/43,18=43,80,87,71,18
47,55|12,75|38,19|80,43|47,89|19,9|47,80|55,38|10,53|47,79|27,92|79,83|89,12|75,60|20,57|3,63|83,20|43,3|47,10|53,27/47,57=47,79,83,20,57
51,74|5,22|35,44|35,72|42,63|36,33|74,25|73,99|35,10|63,73|72,45|49,60|25,11|97,5|45,49|35,51|10,97|33,92|35,42|44,36/35,11=35,51,74,25,11
74,59|33,55|55,60|5,8|36,33|5,50|37,39|8,4|5,26|65,66|83,19|84,83|43,65|5,43|26,37|50,84|66,86|4,74|5,36|39,98/5,98=5,26,37,39,98
88,16|16,79|65,49|66,9|88,26|44,74|88,47|69,66|46,73|88,44|29,3|51,45|88,91|26,35|91,69|74,65|47,63|35,46|63,29|79,51/88,49=88,44,74,65,49
98,7|32,47|47,63|37,36|35,10|36,32|54,87|37,35|45,29|87,19|29,3|37,45|10,98|3,43|71,5|37,67|13,71|67,13|19,20|37,54/37,20=37,54,87,19,20
65,35|92,70|30,95|30,40|41,92|59,55|30,97|95,79|43,11|96,59|12,78|30,96|63,48|40,41|55,69|78,65|30,12|11,1|79,63|97,43/30,69=30,96,59,55,69
12,53|63,32|85,55|89,76|77,2|89,58|89,91|58,3|60,24|76,7|7,63|94,93|55,35|5,60|3,77|89,5|53,94|24,72|91,85|89,12/89,93=89,12,53,94,93
20,96|40,83|12,20|28,81|81,3|78,31|37,12|56,32|28,56|8,69|28,91|32,40|86,43|28,37|85,78|3,8|91,38|28,6|38,86|6,85/28,96=28,37,12,20,96
97,50|64,75|88,4|68,53|67,48|50,31|4,61|67,2|72,21|2,97|67,22|67,72|48,18|89,17|18,64|67,68|53,89|22,88|21,20|20,46/67,75=67,48,18,64,75
83,9|53,52|12,46|57,53|46,40|48,58|9,4|79,57|33,27|79,33|52,32|5,83|79,12|40,8|79,5|56,89|79,77|77,73|27,48|73,56/79,58=79,33,27,48,58
25,57|21,59|38,12|27,17|71,73|36,71|73,98|15,79|96,82|59,99|96,47|17,29|96,27|82,21|47,25|29,3|96,15|57,90|79,38|96,36/96,98=96,36,71,73,98
70,61|36,80|43,48|90,49|55,39|44,37|53,19|36,44|37,83|39,43|80,31|31,90|73,53|36,73|84,89|36,55|19,42|36,84|89,70|83,87/36,61=36,84,89,70,61
62,4|39,73|45,57|42,85|57,79|20,39|68,17|54,68|62,92|75,42|62,27|92,56|62,20|73,37|62,21|24,28|21,45|4,54|27,75|56,24/62,85=62,27,75,42,85
67,68|94,30|47,53|59,78|59,43|90,54|36,12|59,67|54,94|68,31|78,80|24,76|43,24|80,72|59,36|76,34|31,60|72,61|59,90|12,47/59,60=59,67,68,31,60
18,91|39,36|11,56|18,61|67,39|82,13|45,11|99,45|69,20|18,99|91,67|5,89|25,8|61,5|18,25|49,73|89,4|18,49|8,69|73,82/18,20=18,25,8,69,20
49,25|7,77|47,28|89,67|25,59|7,99|81,4|77,18|28,94|67,78|7,47|7,22|22,12|7,0|18,81|0,89|86,29|12,86|99,49|94,6/7,4=7,77,18,81,4
93,37|15,81|60,36|9,16|5,15|56,68|99,93|60,5|33,46|81,74|16,33|42,67|3,13|60,9|35,42|13,56|60,69|36,35|60,3|69,99/60,67=60,36,35,42,67
74,27|1,0|74,84|90,9|74,43|27,1|40,21|34,90|46,63|29,24|51,46|43,88|63,52|84,34|74,51|88,40|74,37|0,54|15,29|37,15/74,9=74,84,34,90,9
90,61|87,21|87,29|61,12|45,6|87,8|87,25|28,5|67,94|32,11|10,28|25,90|39,45|94,32|40,27|21,10|29,40|87,67|27,50|8,39/87,50=87,29,40,27,50
95,33|20,14|64,35|16,64|16,40|76,79|88,23|16,11|53,83|35,20|16,53|19,95|58,80|57,43|40,58|80,68|83,57|11,19|16,76|79,88/16,43=16,53,83,57,43
21,15|92,76|36,55|74,39|92,29|9,47|92,50|15,12|55,77|45,9|76,45|92,74|25,58|7,79|29,36|92,21|12,44|50,98|39,25|98,7/92,44=92,21,15,12,44
27,55|29,82|29,61|18,25|78,47|29,70|25,21|52,13|82,52|84,99|29,94|94,60|70,98|61,78|13,74|47,6|29,18|60,84|21,54|98,27/29,99=29,94,60,84,99
24,87|53,37|19,96|60,74|41,54|41,10|41,25|41,16|10,53|37,45|25,88|16,60|41,19|76,59|96,22|54,49|22,61|74,35|88,24|49,76/41,45=41,10,53,37,45
35,39|35,11|56,33|59,37|35,24|24,67|99,59|37,72|52,77|69,17|22,80|67,56|11,69|17,15|80,2|39,4|4,52|35,22|2,7|35,99/35,72=35,99,59,37,72
87,15|91,58|68,56|4,42|4,22|70,87|67,2|4,70|42,37|22,68|94,10|39,78|15,96|2,94|32,45|4,67|58,32|56,40|4,91|37,39/4,45=4,91,58,32,45
